Total Depth,Central Tank Battery,fluid_gal,fluid_gal_per_ft,propp_lbs,propp_lbs_per_ft,max_treat_press,max_treat_rate,cum_oil_365
18730,118935,1898106,177,2507645,235,8500,41,81924
19160,118936,2474430,224,3032020,275,8500,41,93235
18640,118937,1876182,178,2380370,226,8500,41,85216
17248,118941,1828428,196,3215891,346,6900,30.9,40553
18950,118958,1746234,184,2348710,247,8500,41,79491
14412,118978,52115,9,1764000,334,4346,25.7,27719
14476,118982,786588,134,135521,23,8000,25,69677
18860,119063,1825908,193,2421420,257,8500,40,51843
18730,119092,1681302,178,2291020,243,8500,40,70808
18412,119107,2089794,239,2784970,318,8500,41,68480
18542,119111,1806924,191,2416730,256,8500,40,63013
18536,219151,33141,3,1308072,129,5924,54.5,61697
14695,119162,1234380,224,1736820,315,5413,31.5,43559
19075,119173,1949640,206,2619950,277,8500,41,59997
19031,119183,2422056,250,2786400,288,8500,41,114484
19100,119197,1853208,191,2795010,289,7700,41,65775
19333,119201,2537304,265,2813681,294,8500,41,80559
19045,119256,2215248,230,3100485,321,7380,44,59469
17599,119265,1134882,126,1000000,111,6808,20.7,23105
14770,119266,1349964,232,12546,2,6629,41.2,45548
18579,119302,2198112,237,3087489,333,5310,44,87024
17540,119310,1741446,231,2312257,307,7200,32,28212
17822,119311,1621998,213,2178700,287,6539,37.5,24573
17783,119334,1412040,154,2285090,249,7095,26.1,33125
18294,119335,1171800,117,2351550,236,7343,60.6,51772
19010,119353,2272410,237,3165951,331,7830,41,73121
17451,119367,1163613,122,1769508,186,7394,26.8,45905
18650,119394,2171694,232,3141090,336,6770,48,70369
18520,119399,1633632,172,2769040,292,6970,31.7,47479
18203,119432,879102,92,1347400,141,6051,28.4,35455
18017,119461,1485036,168,1534620,173,8429,45.1,74753
14333,119489,1243788,245,13262,2,7803,41.8,55445
17397,119524,1025337.226,124.4878967,107358.0806,33.0630594,9952.838181,19.37237592,34792
17972,119525,1219470,123,1978180,200,6569,30.5,25600
17599,119530,538650,56,3190300,331,6378,32,33317
18542,119564,1490286,147,1419490,140,9270,47,57040
18512,119575,1494679,148,1337225,132,6245,51,127564
18335,119595,1236564,130,1994976,211,6337,26.6,30532
18134,119596,1290618,131,2023220,206,6790,24.7,39232
17600,119633,1550976,267,1364260,235,9161,43.1,68233
19140,119645,2064468,215,3219998,335,6930,41,74469
14473,119653,1287937,240,1556800,290,7663,41,61561
19240,119654,2312604,237,3175644,326,5590,42,43246
17172,119655,483924.6809,301.4326241,554641.2695,327.5602837,8946.703141,44.19777102,78416
18065,119671,1486842,153,1392205,143,6551,50.5,93011
19260,119709,2051658,212,2810300,291,6650,31,47673
17380,119744,373380,39,561760,59,8096,28.1,31017
18861,119747,1832082,191,2831934,295,6417,32,64645
18805,119749,1940148,204,2821340,297,6090,43,58477
14600,119754,1285948,233,14678,2,8357,41.6,58566
19205,119784,2128770,221,2728810,283,7420,42,90313
17900,119799,1817676,212,2449285,286,8500,30,44598
17699,219965,1186500,130,2079840,229,6698,40.1,97859
18718,119966,1999872,206,2795570,289,6850,32,37610
19220,120127,1863288,191,2656030,272,8250,42,59696
18350,120179,2177784,215,2125600,210,7876,55,140113
19195,120192,1976268,204,2808530,290,5980,44,71584
18405,220216,2095884,207,2019452,199,8665,52.9,155265
17775,220231,1187928,126,2170786,230,6719,30.5,106078
18346,220231,1148994,114,2080580,207,6759,29.8,45118
18242,120251,1299144,128,2084179,206,6454,26.9,47434
18740,120263,1730316,185,2561762,274,7285,31,37943
13716,120285,1266902,217,1454229,249,8600,40,23810
17181,120340,1363950,154,2448500,276,7381,54.5,93387
18492,120341,1161930,115,2080920,207,6770,26.6,38770
14656,120474,1367898,93,1520000,104,8496,51.2,20824
18396,218874,2120454,211,2054820,205,8180,54,129028
18525,219151,2116674,208,2021656,199,9300,53.7,130690
18693,220668,2075056,204,1469800,145,8678,60.6,90930
18598,220545,2089248,205,1981818,195,7236,52.1,105380
18535,220549,2058756,203,1952980,193,8410,52,80717
14381,120569,1296892,238,1672421,307,8600,40,91060
18810,120576,1749972,182,2791480,290,4870,31,58286
18803,120587,1275352,142,1930373,215,7894,42.3,32916
19002,120609,1739766,183,2609983,275,7176,31,71132
19570,120610,2026080,200,2794887,277,5636,31,85860
19200,120611,45091,4,2481543,220,8500,31,58652
19832,120612,2144436,210,2587836,254,8500,31,80177
17412,120646,1532664,169,2420347,267,6637,64,43529
18640,220668,2061780,204,1454800,143,8411,60.4,110868
19282,120684,1766201,196,1768838,196,8716,42,22769
18785,120688,2653392,280,3480027,368,5533,31,58353
17920,120735,1733802,182,2000000,210,6100,40,30934
17760,120756,1219974,135,2030820,224,7814,61.3,38701
18795,120757,1224216,121,1894820,187,7424,27,39387
18192,120758,93404,12,79000,10,6719,27,30828
19005,120759,2322163,235,2850000,288,8397,40,39081
