DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm, RHOfluid,PHI,LFC
2347.3137,3154.0,1439.4,2.1937,63.0722,0.2841,2.194137,1.0,1.0,2.19119077393358,6920.308098,3158.2407978,0.166812072504002,2.67668993160064,1.09,0.304125539584061,1.0
2347.4661,3094.6,1455.2,2.1952,64.9478,0.2825,2.1973135,1.0,1.0,2.12658053875756,6799.80635710001,3197.5306052,0.18809086484518,2.68009453837523,1.09,0.303617820653944,1.0
2347.6184,3064.3,1440.4,2.2017,67.5887,0.2844,2.202552,1.0,1.0,2.12739516800889,6749.28009359999,3172.5559008,0.218052030708805,2.68488832491341,1.09,0.302426393985672,0.0
2347.7708,3023.7,1452.3,2.2052,64.8825,0.2834,2.207832,1.0,1.0,2.08200784961785,6675.82161839998,3206.43441359999,0.187350032503593,2.67997600520058,1.09,0.296950396519361,1.0
2347.9231,3747.5,1452.3,2.2129,64.7777,0.2808,2.21554099999999,1.0,1.0,2.5803897266405,8302.73989749996,3217.63019429998,0.18616107033823,2.67978577125412,1.09,0.292017188509559,1.0
2348.0757,2952.9,1567.7,2.224,63.1361,0.2805,2.23800449999999,1.0,1.0,1.8835874210627,6608.60348804997,3508.51965464998,0.167537021763226,2.67680592348212,1.09,0.276531248710752,1.0
2348.228,2962.6,1511.3,2.2613,62.2467,0.2461,2.28760000000014,1.0,1.0,1.96029908026203,6777.24376000041,3457.24988000021,0.15744672644,2.6751914762304,1.09,0.244507671181754,1.0
2348.3804,3030.2,1498.7,2.3556,57.8027,0.2015,2.38976799999996,1.0,1.0,2.02188563421632,7241.47499359987,3581.54530159994,0.107029285000357,2.66712468560006,1.09,0.175862243570534,1.0
2348.5327,3074.3,1499.6,2.4397,56.6795,0.1507,2.44,1.0,1.0,2.05008002133902,7501.292,3659.024,0.0942865149227231,2.66508584238764,1.09,0.142903857256715,1.0
2348.6853,3089.8,1464.2,2.4395,56.9449,0.1811,2.38881999999996,1.0,1.0,2.11023084278104,7380.97603599986,3497.71024399994,0.0972974935361527,2.66556759896578,1.09,0.175649460643572,1.0
