DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI
2016.4532,2360.9,865.2,2.1231,88.7827,0.4508,2.24572399999999,1,1,2.72873324086916,5301.92979159998,1943.00040479999,0.458499207547641,2.72335987320762,1.09,0.29242537486221
2016.6056,2336.2,917,2.1604,89.3878,0.418,2.256112,1,1,2.54765539803708,5270.72885440001,2068.854704,0.465364102645554,2.72445825642329,1.09,0.286545254112622
2016.7581,2346.3,870.8,2.0927,87.3307,0.4537,2.256257,1,1,2.69441892512632,5293.8557991,1964.7485956,0.442026182126767,2.72072418914028,1.09,0.284822652557296
2016.9104,2278.7,859.3,2.0373,88.0504,0.4665,2.252312,1,1,2.65180961247527,5132.34335439999,1935.4117016,0.450191220966576,2.72203059535465,1.09,0.287812371098706
2017.0627,2289.1,834.5,2.0036,87.2316,0.4898,2.2496705,1,1,2.74307968843619,5149.72074155001,1877.35003225,0.440901886796734,2.72054430188748,1.09,0.288783200396579
2017.2152,2294.4,835.4,2.0673,88.7209,0.4572,2.238456,1,1,2.74646875748145,5135.9134464,1870.0061424,0.457798082911959,2.72324769326591,1.09,0.296826804204144
2017.3676,2461.8,892.7,2.0882,90.2616,0.446,2.241338,1,1,2.75770135543856,5517.7258884,2000.8424326,0.475277415051036,2.72604438640817,1.09,0.296267259271803
2017.52,2495.4,886.7,2.0919,91.1066,0.4496,2.25,1,1,2.81425510319161,5614.65,1995.075,0.484863989762219,2.72757823836196,1.09,0.291636898423656
2017.6724,2518.7,905.4,2.1092,93.1383,0.4593,2.284896,1,1,2.78186436933952,5754.9675552,2068.7448384,0.507913745786729,2.73126619932588,1.09,0.271966972517448
2017.8248,2400.8,951.1,2.1034,90.3819,0.4729,2.29124,1,1,2.52423509620439,5500.80899200001,2179.198364,0.476642225628261,2.72626275610052,1.09,0.265863630079344
2017.9772,2515.6,942.5,2.1174,90.1941,0.4934,2.284578,1,1,2.66907161803713,5747.08441679999,2153.214765,0.474511623580024,2.7259218597728,1.09,0.269782971073019
2018.1296,2365.5,944.9,2.1597,88.8255,0.4663,2.27569600000001,1,1,2.50343951740925,5383.15888800002,2150.30515040001,0.458984776065556,2.72343756417049,1.09,0.274109995993546
2018.282,2331.2,871.6,2.1924,82.3323,0.4518,2.27965000000002,1,1,2.67462138595686,5314.32008000006,1986.94294000002,0.385319040071882,2.7116510464115,1.09,0.266395811458598
2018.4344,2263.7,890.5,2.2275,77.373,0.4116,2.256248,1,1,2.5420550252667,5107.46859759999,2009.188844,0.329055489817242,2.70264887837076,1.09,0.276812196602744
